activation,loss,n_batch,n_epochs,n_neurons,steps_in,steps_out,modelo,RMSE_global,RMSE_t+1,RMSE_t+2,RMSE_t+3
relu,mse,32,1500,"[150, 150]",14,3,../results/models/modelo_358_RMSE_11.0020.keras,11.001980060885291,7.639845608099617,11.776492155033758,12.887113229392465
relu,mse,32,1500,"[150, 150]",30,3,../results/models/modelo_359_RMSE_8.3347.keras,8.33465509102335,6.699304720309208,8.561356623276057,9.498521753014748
relu,mse,64,500,[50],3,3,../results/models/modelo_360_RMSE_15.9160.keras,15.916039610798572,8.026295267829772,15.114460974489605,21.6123252890977
relu,mse,64,500,[50],5,3,../results/models/modelo_361_RMSE_17.0729.keras,17.072892688509587,8.256382425088951,16.100429927125575,23.389298828149894
relu,mse,64,500,[50],7,3,../results/models/modelo_362_RMSE_12.9489.keras,12.948888544236656,7.640787244509163,12.74661539964103,16.797717396449126
relu,mse,64,500,[50],14,3,../results/models/modelo_363_RMSE_10.9629.keras,10.962908129868584,6.364599867958401,11.00680030746802,14.103130131432595
relu,mse,64,500,[50],30,3,../results/models/modelo_364_RMSE_8.4407.keras,8.440719071481759,6.4091003798761585,8.6866676462781,9.859130430966218
relu,mse,64,500,[100],3,3,../results/models/modelo_365_RMSE_14.8792.keras,14.879194551872976,7.788222640447562,14.09231442809655,20.122662689115995
relu,mse,64,500,[100],5,3,../results/models/modelo_366_RMSE_15.5778.keras,15.577816371374091,7.589421628706165,14.565468836007033,21.406842028421355
relu,mse,64,500,[100],7,3,../results/models/modelo_367_RMSE_12.2609.keras,12.260945382146302,7.031663893928738,11.699289095297813,16.268825481250584
relu,mse,64,500,[100],14,3,../results/models/modelo_368_RMSE_9.5972.keras,9.597178367509043,6.712359662463132,9.728813072631182,11.688110275527396
relu,mse,64,500,[100],30,3,../results/models/modelo_369_RMSE_8.1242.keras,8.124204117624235,5.733988964884801,9.116043005941947,9.056887329478265
relu,mse,64,500,[150],3,3,../results/models/modelo_370_RMSE_17.5093.keras,17.509316958115555,8.907745939401837,16.741419479618543,23.66654763808565
relu,mse,64,500,[150],5,3,../results/models/modelo_371_RMSE_13.1424.keras,13.14240514878884,6.955331481669536,12.358556815345548,17.806119080437114
relu,mse,64,500,[150],7,3,../results/models/modelo_372_RMSE_12.3755.keras,12.375546991822134,6.886074381379891,11.876609611974024,16.46179254453365
relu,mse,64,500,[150],14,3,../results/models/modelo_373_RMSE_9.6241.keras,9.62412823320125,6.341893961339735,9.922926368089882,11.797772926442232
relu,mse,64,500,[150],30,3,../results/models/modelo_374_RMSE_8.4864.keras,8.486419171751876,7.261219394583802,8.768317941815704,9.297807507739991
relu,mse,64,500,"[50, 50]",3,3,../results/models/modelo_375_RMSE_15.0899.keras,15.089933649848989,8.230735299895363,14.608955145771818,20.04873359198576
relu,mse,64,500,"[50, 50]",5,3,../results/models/modelo_376_RMSE_14.4417.keras,14.441741870650244,7.2871214415060095,13.597841979679707,19.689801404988334
relu,mse,64,500,"[50, 50]",7,3,../results/models/modelo_377_RMSE_12.7135.keras,12.71347865995554,6.7587402407256665,12.32409383520744,16.950922110930485
relu,mse,64,500,"[50, 50]",14,3,../results/models/modelo_378_RMSE_9.0936.keras,9.09355901009135,6.986455133922001,9.047111763415645,10.835942959059986
relu,mse,64,500,"[50, 50]",30,3,../results/models/modelo_379_RMSE_8.3548.keras,8.354828152667967,5.868881430695267,8.524015347863491,10.11468504124905
relu,mse,64,500,"[50, 100]",3,3,../results/models/modelo_380_RMSE_13.6688.keras,13.668825299392836,7.414740692095481,13.28798116712523,18.137296716078524
relu,mse,64,500,"[50, 100]",5,3,../results/models/modelo_381_RMSE_14.1883.keras,14.188304274719592,7.954497201435766,13.262867055690027,19.098331505959393
relu,mse,64,500,"[50, 100]",7,3,../results/models/modelo_382_RMSE_11.5373.keras,11.537341161928579,6.593971826708118,11.097442076751546,15.254410449503391
relu,mse,64,500,"[50, 100]",14,3,../results/models/modelo_383_RMSE_10.0007.keras,10.000704921443884,6.370280592003662,10.080767054030241,12.563437330559491
relu,mse,64,500,"[50, 100]",30,3,../results/models/modelo_384_RMSE_8.2283.keras,8.2282537454418,5.647303300281518,9.104852160660256,9.39798444695888
relu,mse,64,500,"[50, 150]",3,3,../results/models/modelo_385_RMSE_13.3807.keras,13.380739536345969,7.312464186137808,12.703040674582725,17.9525261945205
relu,mse,64,500,"[50, 150]",5,3,../results/models/modelo_386_RMSE_13.5430.keras,13.542957549751465,7.0077373319523515,12.67312708115302,18.45314512635769
relu,mse,64,500,"[50, 150]",7,3,../results/models/modelo_387_RMSE_12.6767.keras,12.676741330350666,8.534219919663984,12.12147092268345,16.196800465005815
relu,mse,64,500,"[50, 150]",14,3,../results/models/modelo_388_RMSE_9.1825.keras,9.182515199064614,6.35548465756788,9.72275212244962,10.864237758627079
relu,mse,64,500,"[50, 150]",30,3,../results/models/modelo_389_RMSE_8.9909.keras,8.990859315877204,5.814298443871123,9.333346329074606,11.026750818842103
relu,mse,64,500,"[100, 50]",3,3,../results/models/modelo_390_RMSE_13.0740.keras,13.073994649173674,7.559630633906601,12.496807303206266,17.305195756341416
relu,mse,64,500,"[100, 50]",5,3,../results/models/modelo_391_RMSE_13.7366.keras,13.736627643833543,7.073550867733008,13.13673082090618,18.533105474707757
relu,mse,64,500,"[100, 50]",7,3,../results/models/modelo_392_RMSE_12.4828.keras,12.482752774899689,7.285456083770658,12.193245494078912,16.300436941701015
relu,mse,64,500,"[100, 50]",14,3,../results/models/modelo_393_RMSE_8.2705.keras,8.270469250360328,5.93616458386719,8.484800653862692,9.898085307821882
relu,mse,64,500,"[100, 50]",30,3,../results/models/modelo_394_RMSE_12.8975.keras,12.897481867260053,10.104786134867927,14.204989016693062,13.96949174999278
relu,mse,64,500,"[100, 100]",3,3,../results/models/modelo_395_RMSE_13.2577.keras,13.2577160518784,7.3885669171016355,12.800362455015701,17.574438957430164
relu,mse,64,500,"[100, 100]",5,3,../results/models/modelo_396_RMSE_13.5863.keras,13.58626571297836,7.1744819958974375,12.72521399806209,18.448728543317596
relu,mse,64,500,"[100, 100]",7,3,../results/models/modelo_397_RMSE_13.3261.keras,13.326085757707038,7.889980035094326,13.04855622647786,17.327350643290675
relu,mse,64,500,"[100, 100]",14,3,../results/models/modelo_398_RMSE_9.0444.keras,9.044359711168266,6.370296858742021,9.596469066848547,10.617364415688652
relu,mse,64,500,"[100, 100]",30,3,../results/models/modelo_399_RMSE_8.4257.keras,8.425747035341905,5.7173884500810255,9.510941045254956,9.478032973950004
relu,mse,64,500,"[100, 150]",3,3,../results/models/modelo_400_RMSE_13.3079.keras,13.307877773521607,7.419517158260234,12.990805880173381,17.535351728063677
relu,mse,64,500,"[100, 150]",5,3,../results/models/modelo_401_RMSE_12.9330.keras,12.933035792595094,6.702753788470297,12.315284721673796,17.469891193504715
relu,mse,64,500,"[100, 150]",7,3,../results/models/modelo_402_RMSE_14.1461.keras,14.146097061130359,9.393761306099421,14.334229878347413,17.510662137894286
relu,mse,64,500,"[100, 150]",14,3,../results/models/modelo_403_RMSE_9.5454.keras,9.545359933399125,6.507970529254057,9.813243117342111,11.605527471197625
relu,mse,64,500,"[100, 150]",30,3,../results/models/modelo_404_RMSE_8.2753.keras,8.275340865717892,6.492014840026925,8.642641803420288,9.412878693901458
relu,mse,64,500,"[150, 50]",3,3,../results/models/modelo_405_RMSE_16.0569.keras,16.05694782827014,8.261809946914386,15.17691223679162,21.79175422119931
relu,mse,64,500,"[150, 50]",5,3,../results/models/modelo_406_RMSE_12.8274.keras,12.827436043419965,7.071505999938799,11.95218716893017,17.34267485469815
relu,mse,64,500,"[150, 50]",7,3,../results/models/modelo_407_RMSE_11.6848.keras,11.684764184774098,6.6820613180533295,11.880608466801764,14.960024771425763
relu,mse,64,500,"[150, 50]",14,3,../results/models/modelo_408_RMSE_8.8890.keras,8.889041316683452,6.4061631172702365,9.169775191955374,10.579294098995577
relu,mse,64,500,"[150, 50]",30,3,../results/models/modelo_409_RMSE_8.6343.keras,8.634302580036275,5.958398237749194,8.295843692836314,10.92382767143818
relu,mse,64,500,"[150, 100]",3,3,../results/models/modelo_410_RMSE_14.7496.keras,14.74962467687908,9.618792082441814,14.15009991327364,18.971236007322467
relu,mse,64,500,"[150, 100]",5,3,../results/models/modelo_411_RMSE_13.7927.keras,13.792658538447439,7.704244393680817,13.071113975091045,18.452720299382374
relu,mse,64,500,"[150, 100]",7,3,../results/models/modelo_412_RMSE_13.5671.keras,13.5670928235242,8.55590019726789,13.737626190625505,17.037377189796462
relu,mse,64,500,"[150, 100]",14,3,../results/models/modelo_413_RMSE_10.9400.keras,10.940023518163667,7.427746165455217,12.042522714877924,12.60391119046532
relu,mse,64,500,"[150, 100]",30,3,../results/models/modelo_414_RMSE_8.0948.keras,8.09476751571745,6.3881177125359585,8.526348608573121,9.114225962549476
relu,mse,64,500,"[150, 150]",3,3,../results/models/modelo_415_RMSE_13.2410.keras,13.240976976097711,7.403187827599481,12.556409172484912,17.705925915553507
relu,mse,64,500,"[150, 150]",5,3,../results/models/modelo_416_RMSE_15.3673.keras,15.36731557049477,8.76824281762444,14.784896403767926,20.322104215620495
relu,mse,64,500,"[150, 150]",7,3,../results/models/modelo_417_RMSE_12.7339.keras,12.733875780031237,7.399300731757549,12.308823465044078,16.739115589874835
relu,mse,64,500,"[150, 150]",14,3,../results/models/modelo_418_RMSE_8.8250.keras,8.824989168964827,6.547199217484032,8.78744025267957,10.656283484836672
relu,mse,64,500,"[150, 150]",30,3,../results/models/modelo_419_RMSE_9.0077.keras,9.007685104660304,6.358439277742591,9.430796930638973,10.679208399430566
relu,mse,64,1000,[50],3,3,../results/models/modelo_420_RMSE_14.0878.keras,14.087802587964582,7.744083177796233,13.383403877701872,18.876234308094183
relu,mse,64,1000,[50],5,3,../results/models/modelo_421_RMSE_13.1855.keras,13.185480531437651,6.787752363888723,12.487293488038647,17.87637014958223
relu,mse,64,1000,[50],7,3,../results/models/modelo_422_RMSE_13.5173.keras,13.517312149631831,6.905516408132396,12.992933681916513,18.211279491734985
relu,mse,64,1000,[50],14,3,../results/models/modelo_423_RMSE_10.2798.keras,10.27981629394513,6.616481163410294,10.886859003940785,12.438743793258608
relu,mse,64,1000,[50],30,3,../results/models/modelo_424_RMSE_8.2130.keras,8.213004590104127,5.662935125118415,8.384233338023934,9.99980651280226
relu,mse,64,1000,[100],3,3,../results/models/modelo_425_RMSE_14.9788.keras,14.978837334621579,8.249099759922347,14.653172052134735,19.7568622420805
relu,mse,64,1000,[100],5,3,../results/models/modelo_426_RMSE_13.0319.keras,13.031943484546913,7.045119154936719,12.269680097634824,17.58737897890762
relu,mse,64,1000,[100],7,3,../results/models/modelo_427_RMSE_11.8921.keras,11.892145657061207,6.7917004677331745,11.554980810363073,15.640479794910805
relu,mse,64,1000,[100],14,3,../results/models/modelo_428_RMSE_9.0355.keras,9.035540500408926,6.07885097071422,9.330532452393843,10.995986151058139
relu,mse,64,1000,[100],30,3,../results/models/modelo_429_RMSE_8.0080.keras,8.00795236465743,6.0322773676603045,8.230003617749142,9.39470986435009
