Datetime,R1
2020-09-20 13:00:00,249.056
2020-09-20 14:00:00,247.817
2020-09-20 15:00:00,251.477
2020-09-20 16:00:00,253.957
2020-09-20 17:00:00,253.835
2020-09-20 18:00:00,264.58
2020-09-20 19:00:00,272.441
2020-09-20 20:00:00,274.914
2020-09-20 21:00:00,273.473
2020-09-20 22:00:00,266.38
2020-09-20 23:00:00,259.455
2020-09-21 00:00:00,243.13
2020-09-21 01:00:00,222.587
2020-09-21 02:00:00,207.206
2020-09-21 03:00:00,193.372
2020-09-21 04:00:00,176.151
2020-09-21 05:00:00,164.358
2020-09-21 06:00:00,187.61
2020-09-21 07:00:00,225.369
2020-09-21 08:00:00,263.679
2020-09-21 09:00:00,279.006
2020-09-21 10:00:00,274.413
2020-09-21 11:00:00,259.099
2020-09-21 12:00:00,267.687
2020-09-21 13:00:00,272.832
2020-09-21 14:00:00,270.478
2020-09-21 15:00:00,262.73
2020-09-21 16:00:00,268.206
2020-09-21 17:00:00,264.613
2020-09-21 18:00:00,281.339
2020-09-21 19:00:00,281.967
2020-09-21 20:00:00,280.651
2020-09-21 21:00:00,268.768
2020-09-21 22:00:00,261.705
2020-09-21 23:00:00,256.196
2020-09-22 00:00:00,247.594
2020-09-22 01:00:00,214.339
2020-09-22 02:00:00,198.554
2020-09-22 03:00:00,178.015
2020-09-22 04:00:00,160.381
2020-09-22 05:00:00,158.368
2020-09-22 06:00:00,169.169
2020-09-22 07:00:00,187.378
2020-09-22 08:00:00,211.551
2020-09-22 09:00:00,232.75
2020-09-22 10:00:00,231.692
2020-09-22 11:00:00,260.417
2020-09-22 12:00:00,262.7
2020-09-22 13:00:00,276.348
2020-09-22 14:00:00,265.597
2020-09-22 15:00:00,256.618
2020-09-22 16:00:00,258.171
2020-09-22 17:00:00,258.343
2020-09-22 18:00:00,259.238
2020-09-22 19:00:00,281.005
2020-09-22 20:00:00,269.936
2020-09-22 21:00:00,262.8
2020-09-22 22:00:00,261.573
2020-09-22 23:00:00,257.301
2020-09-23 00:00:00,251.342
2020-09-23 01:00:00,230.637
2020-09-23 02:00:00,204.826
2020-09-23 03:00:00,182.467
2020-09-23 04:00:00,172.145
2020-09-23 05:00:00,186.097
2020-09-23 06:00:00,202.114
2020-09-23 07:00:00,232.172
2020-09-23 08:00:00,259.821
2020-09-23 09:00:00,277.208
2020-09-23 10:00:00,270.541
2020-09-23 11:00:00,258.696
2020-09-23 12:00:00,254.508
2020-09-23 13:00:00,272.331
2020-09-23 14:00:00,261.111
2020-09-23 15:00:00,262.842
2020-09-23 16:00:00,255.336
2020-09-23 17:00:00,266.008
2020-09-23 18:00:00,266.374
2020-09-23 19:00:00,282.067
2020-09-23 20:00:00,271.443
2020-09-23 21:00:00,265.416
2020-09-23 22:00:00,253.219
2020-09-23 23:00:00,257.892
2020-09-24 00:00:00,243.05
2020-09-24 01:00:00,226.164
2020-09-24 02:00:00,206.002
2020-09-24 03:00:00,186.983
2020-09-24 04:00:00,175.655
2020-09-24 05:00:00,178.59
2020-09-24 06:00:00,198.466
2020-09-24 07:00:00,227.47
2020-09-24 08:00:00,262.048
2020-09-24 09:00:00,286.005
2020-09-24 10:00:00,271.604
2020-09-24 11:00:00,265.679
2020-09-24 12:00:00,262.719
2020-09-24 13:00:00,269.081
2020-09-24 14:00:00,265.826
2020-09-24 15:00:00,262.422
2020-09-24 16:00:00,257.953
2020-09-24 17:00:00,263.641
2020-09-24 18:00:00,276.905
2020-09-24 19:00:00,279.818
2020-09-24 20:00:00,272.389
2020-09-24 21:00:00,263.58
2020-09-24 22:00:00,253.632
2020-09-24 23:00:00,254.632
2020-09-25 00:00:00,254.014
2020-09-25 01:00:00,224.975
2020-09-25 02:00:00,203.918
2020-09-25 03:00:00,191.213
2020-09-25 04:00:00,180.707
2020-09-25 05:00:00,169.677
2020-09-25 06:00:00,193.061
2020-09-25 07:00:00,223.696
2020-09-25 08:00:00,266.591
2020-09-25 09:00:00,282.916
2020-09-25 10:00:00,268.22
2020-09-25 11:00:00,268.954
2020-09-25 12:00:00,267.385
2020-09-25 13:00:00,270.096
2020-09-25 14:00:00,257.431
2020-09-25 15:00:00,251.393
2020-09-25 16:00:00,250.871
2020-09-25 17:00:00,256.29
2020-09-25 18:00:00,259.36
2020-09-25 19:00:00,266.614
2020-09-25 20:00:00,267.299
2020-09-25 21:00:00,255.633
2020-09-25 22:00:00,243.015
2020-09-25 23:00:00,242.337
2020-09-26 00:00:00,235.738
2020-09-26 01:00:00,219.948
2020-09-26 02:00:00,203.967
2020-09-26 03:00:00,185.868
2020-09-26 04:00:00,179.519
2020-09-26 05:00:00,170.135
2020-09-26 06:00:00,179.707
2020-09-26 07:00:00,190.37
2020-09-26 08:00:00,206.475
2020-09-26 09:00:00,226.407
2020-09-26 10:00:00,247.175
2020-09-26 11:00:00,251.181
2020-09-26 12:00:00,258.532
2020-09-26 13:00:00,263.47
2020-09-26 14:00:00,253.172
2020-09-26 15:00:00,254.365
2020-09-26 16:00:00,252.659
2020-09-26 17:00:00,256.368
2020-09-26 18:00:00,267.605
2020-09-26 19:00:00,274.351
2020-09-26 20:00:00,267.521
2020-09-26 21:00:00,252.113
2020-09-26 22:00:00,240.435
2020-09-26 23:00:00,235.381
2020-09-27 00:00:00,229.036
2020-09-27 01:00:00,223.918
2020-09-27 02:00:00,203.836
