Datetime,R1,R2,R3,R4,R5,R6
2020-09-05 00:00:00,229.184,26.805,27.612,18.837,9.614,21.744
2020-09-05 01:00:00,206.341,23.774,23.639,12.317,7.575,17.417
2020-09-05 02:00:00,195.388,24.624,24.039,11.914,4.88,1.55
2020-09-05 03:00:00,176.584,28.238,25.952,12.895,4.534,1.581
2020-09-05 04:00:00,160.062,29.03,25.998,12.433,3.64,1.153
2020-09-05 05:00:00,146.21,27.899,24.811,11.862,3.045,1.223
2020-09-05 06:00:00,163.204,23.246,24.56,13.75,3.749,5.99
2020-09-05 07:00:00,179.116,16.76,17.88,11.412,3.894,10.012
2020-09-05 08:00:00,191.938,19.119,22.584,14.803,5.315,13.179
2020-09-05 09:00:00,214.744,21.602,26.023,17.308,6.175,18.36
2020-09-05 10:00:00,217.09,24.627,30.333,20.5,7.183,20.683
2020-09-05 11:00:00,228.27,29.628,34.833,25.684,9.343,27.682
2020-09-05 12:00:00,233.611,30.566,37.609,28.068,10.142,29.629
2020-09-05 13:00:00,233.518,31.469,36.536,27.643,8.618,27.694
2020-09-05 14:00:00,233.678,31.199,36.936,27.544,9.672,28.041
2020-09-05 15:00:00,233.5,29.519,36.092,26.436,8.791,27.15
2020-09-05 16:00:00,227.132,29.383,34.952,26.454,9.612,27.217
2020-09-05 17:00:00,238.798,28.866,36.222,28.04,8.43,28.343
2020-09-05 18:00:00,231.791,31.07,38.986,30.248,10.086,30.733
2020-09-05 19:00:00,247.256,31.032,41.306,31.905,10.487,33.244
2020-09-05 20:00:00,251.472,30.947,39.043,30.185,10.432,29.826
2020-09-05 21:00:00,244.738,32.344,38.61,27.872,10.251,29.156
2020-09-05 22:00:00,237.692,28.654,33.804,22.744,8.75,25.475
2020-09-05 23:00:00,227.636,26.283,33.4,21.362,9.652,22.77
2020-09-06 00:00:00,226.079,26.939,29.144,19.812,8.734,25.61
2020-09-06 01:00:00,202.695,26.55,25.488,15.271,6.455,23.135
2020-09-06 02:00:00,181.902,29.945,28.63,12.508,6.45,9.428
2020-09-06 03:00:00,178.379,29.048,27.513,11.614,5.942,4.479
2020-09-06 04:00:00,173.196,27.798,26.596,12.0,5.383,1.304
2020-09-06 05:00:00,161.642,24.4,18.728,13.289,4.284,1.334
2020-09-06 06:00:00,174.964,22.555,19.595,14.448,4.057,6.217
2020-09-06 07:00:00,178.678,17.55,19.75,12.361,3.766,11.426
2020-09-06 08:00:00,184.991,19.498,21.581,12.825,5.284,13.144
2020-09-06 09:00:00,205.065,21.905,24.059,16.062,5.022,15.602
2020-09-06 10:00:00,217.384,27.747,28.934,19.147,7.177,19.308
2020-09-06 11:00:00,227.248,30.868,33.661,22.497,9.082,22.113
2020-09-06 12:00:00,233.103,32.995,36.81,25.633,9.484,24.861
2020-09-06 13:00:00,234.221,32.924,35.478,26.389,9.548,24.354
2020-09-06 14:00:00,232.038,30.028,37.502,24.766,9.495,25.938
2020-09-06 15:00:00,233.809,27.797,31.801,25.396,10.546,27.185
2020-09-06 16:00:00,233.244,30.635,33.784,23.007,12.078,26.431
